[
	{
		'a' : 1,
		'b' : '第一型兰斯洛特',
		'c' : 5,
		'd' : 1,
		'e' : 19,
		'f' : 122,
		'g' : '对手是「妖精」的时候&#10;攻击力上升100%',
		'h' : 100,
		'i' : 100,
		'j' : '普通（45-59）',
		'k' : 1,
		'l' : '成长：中',
		'm' : 1,
		'n' : '黑星紅白',
		'o' : 3890,
		'p' : 2720,
		'q' : 8950,
		'r' : 8950,
		's' : 40,
		't' : 18200,
		'u' : 16100,
		'v' : 90,
		'w' : 44,
		'x' : 100,
		'y' : 10800,
		'z' : '锐断剑＝暴风斩击'
	},
	{
		'a' : 2,
		'b' : '第二型加雷斯',
		'c' : 4,
		'd' : 1,
		'e' : 10,
		'f' : 100,
		'g' : '攻击力上升50%',
		'h' : 50,
		'i' : 50,
		'j' : '很低（15-34）',
		'k' : 1,
		'l' : '成长：中',
		'm' : 2,
		'n' : '文倉十',
		'o' : 2820,
		'p' : 2210,
		'q' : 5460,
		'r' : 4240,
		's' : 35,
		't' : 9800,
		'u' : 7600,
		'v' : 70,
		'w' : 40,
		'x' : 80,
		'y' : 10900,
		'z' : '马上枪＝献身突击'
	},
	{
		'a' : 3,
		'b' : '支援型金发伊索德',
		'c' : 4,
		'd' : 1,
		'e' : 9,
		'f' : 101,
		'g' : '攻击力上升100%',
		'h' : 100,
		'i' : 100,
		'j' : '很低（15-34）',
		'k' : 1,
		'l' : '成长：中',
		'm' : 2,
		'n' : '左',
		'o' : 2390,
		'p' : 1870,
		'q' : 4670,
		'r' : 3290,
		's' : 33,
		't' : 9100,
		'u' : 6700,
		'v' : 70,
		'w' : 37,
		'x' : 80,
		'y' : 10800,
		'z' : '诱接吻＝服毒确定'
	},
	{
		'a' : 4,
		'b' : '支援型莉奥妮丝',
		'c' : 1,
		'd' : 1,
		'e' : 5,
		'f' : 215,
		'g' : '回复卡牌HP的50%',
		'h' : 50,
		'i' : 50,
		'j' : '很低（15-34）',
		'k' : 2,
		'l' : '成长：小',
		'm' : 2,
		'n' : '晶寶',
		'o' : 950,
		'p' : 830,
		'q' : 2250,
		'r' : 1010,
		's' : 16,
		't' : 3800,
		'u' : 2200,
		'v' : 40,
		'w' : 21,
		'x' : 50,
		'y' : 10900,
		'z' : '饰目药＝妇人落泪'
	},
	{
		'a' : 5,
		'b' : '第二型崔斯坦',
		'c' : 3,
		'd' : 1,
		'e' : 7,
		'f' : 101,
		'g' : '攻击力上升100%',
		'h' : 100,
		'i' : 100,
		'j' : '很低（15-34）',
		'k' : 1,
		'l' : '成长：小',
		'm' : 1,
		'n' : 'Tartan Check',
		'o' : 1380,
		'p' : 1570,
		'q' : 2240,
		'r' : 3010,
		's' : 28,
		't' : 5800,
		'u' : 5700,
		'v' : 60,
		'w' : 32,
		'x' : 70,
		'y' : 10800,
		'z' : '刺脏枪＝恶龙损伤'
	},
	{
		'a' : 6,
		'b' : '复原型乌瑟',
		'c' : 4,
		'd' : 1,
		'e' : 19,
		'f' : 102,
		'g' : '攻击力上升50%',
		'h' : 50,
		'i' : 50,
		'j' : '很低（15-34）',
		'k' : 1,
		'l' : '成长：小',
		'm' : 1,
		'n' : 'Tartan Check',
		'o' : 2740,
		'p' : 4270,
		'q' : 7200,
		'r' : 6590,
		's' : 32,
		't' : 11100,
		'u' : 9600,
		'v' : 70,
		'w' : 36,
		'x' : 80,
		'y' : 10800,
		'z' : '破突剑＝绝对诱导'
	},
	{
		'a' : 7,
		'b' : '支援型阿斯特拉艾琳',
		'c' : 4,
		'd' : 1,
		'e' : 10,
		'f' : 207,
		'g' : 'HP在10%以下时&#10;回复卡牌HP的200%',
		'h' : 200,
		'i' : 200,
		'j' : '普通（45-59）',
		'k' : 2,
		'l' : '成长：中',
		'm' : 2,
		'n' : '竹岡美穂',
		'o' : 2390,
		'p' : 1870,
		'q' : 4800,
		'r' : 3420,
		's' : 35,
		't' : 9200,
		'u' : 6800,
		'v' : 70,
		'w' : 41,
		'x' : 80,
		'y' : 11000,
		'z' : '回复华＝最终献身'
	},
	{
		'a' : 8,
		'b' : '支援型丽奈特',
		'c' : 2,
		'd' : 1,
		'e' : 3,
		'f' : 307,
		'g' : '战斗胜利后一定概率&#10;BC回复10',
		'h' : 10,
		'i' : 10,
		'j' : '很低（15-34）',
		'k' : 6,
		'l' : '成长：中',
		'm' : 2,
		'n' : 'MOTA',
		'o' : 480,
		'p' : 770,
		'q' : 1290,
		'r' : 1080,
		's' : 22,
		't' : 4100,
		'u' : 3200,
		'v' : 50,
		'w' : 28,
		'x' : 60,
		'y' : 11000,
		'z' : '召唤球＝战力补给'
	},
	{
		'a' : 9,
		'b' : '支援型依缇尔',
		'c' : 1,
		'd' : 1,
		'e' : 3,
		'f' : 307,
		'g' : '战斗胜利后一定概率&#10;BC回复10',
		'h' : 10,
		'i' : 10,
		'j' : '很低（15-34）',
		'k' : 6,
		'l' : '成长：小',
		'm' : 2,
		'n' : '晶寶',
		'o' : 790,
		'p' : 320,
		'q' : 1500,
		'r' : 520,
		's' : 15,
		't' : 3100,
		'u' : 1700,
		'v' : 40,
		'w' : 20,
		'x' : 50,
		'y' : 10900,
		'z' : '红莲铠＝掠夺前提'
	},
	{
		'a' : 10,
		'b' : '支援型白手伊索德',
		'c' : 3,
		'd' : 1,
		'e' : 8,
		'f' : 241,
		'g' : '卡片等级MAX时&#10;回复卡牌HP的100%',
		'h' : 100,
		'i' : 100,
		'j' : '很低（15-34）',
		'k' : 2,
		'l' : '成长：小',
		'm' : 2,
		'n' : 'panamaman',
		'o' : 2000,
		'p' : 1060,
		'q' : 3430,
		'r' : 1540,
		's' : 24,
		't' : 7000,
		'u' : 4300,
		'v' : 60,
		'w' : 28,
		'x' : 70,
		'y' : 10800,
		'z' : '白黒旗＝绝望附加'
	},
	{
		'a' : 11,
		'b' : '亚瑟 -剑术之城-',
		'c' : 3,
		'd' : 1,
		'e' : 7,
		'f' : 107,
		'g' : '「剑术之城」越多&#10;攻击力提升越大',
		'h' : 18,
		'i' : 70,
		'j' : '很高（75-89）',
		'k' : 1,
		'l' : '成长：中',
		'm' : 1,
		'n' : '灰村清孝',
		'o' : 1960,
		'p' : 1520,
		'q' : 3830,
		'r' : 2960,
		's' : 30,
		't' : 7400,
		'u' : 5700,
		'v' : 60,
		'w' : 34,
		'x' : 70,
		'y' : 10800,
		'z' : '选别剑＝全域裁定'
	},
	{
		'a' : 12,
		'b' : '第二型昂兹雷克',
		'c' : 2,
		'd' : 1,
		'e' : 5,
		'f' : 111,
		'g' : '自己HP越低&#10;攻击力提升越大',
		'h' : 3,
		'i' : 90,
		'j' : '较高（60-74）',
		'k' : 1,
		'l' : '成长：小',
		'm' : 2,
		'n' : '逢倉千尋',
		'o' : 960,
		'p' : 730,
		'q' : 1670,
		'r' : 1380,
		's' : 19,
		't' : 4400,
		'u' : 3500,
		'v' : 50,
		'w' : 23,
		'x' : 60,
		'y' : 10800,
		'z' : '強突剑＝负伤觉悟'
	},
	{
		'a' : 13,
		'b' : '第二型加荷里斯',
		'c' : 2,
		'd' : 1,
		'e' : 5,
		'f' : 132,
		'g' : '攻击力上升50%',
		'h' : 50,
		'i' : 50,
		'j' : '很低（15-34）',
		'k' : 1,
		'l' : '成长：小',
		'm' : 1,
		'n' : '森澤晴行',
		'o' : 1680,
		'p' : 360,
		'q' : 3000,
		'r' : 860,
		's' : 21,
		't' : 5700,
		'u' : 2900,
		'v' : 50,
		'w' : 25,
		'x' : 60,
		'y' : 10800,
		'z' : '审判剑＝魔女破灭'
	},
	{
		'a' : 15,
		'b' : '第二型兰玛洛克',
		'c' : 1,
		'd' : 1,
		'e' : 4,
		'f' : 131,
		'g' : '攻击力上升20%',
		'h' : 20,
		'i' : 20,
		'j' : '很低（15-34）',
		'k' : 1,
		'l' : '成长：小',
		'm' : 1,
		'n' : '匡吉',
		'o' : 1120,
		'p' : 650,
		'q' : 1700,
		'r' : 1390,
		's' : 12,
		't' : 3300,
		'u' : 2600,
		'v' : 40,
		'w' : 18,
		'x' : 50,
		'y' : 11000,
		'z' : '巨迅枪＝击破优先'
	},
	{
		'a' : 16,
		'b' : '试作型伏提庚',
		'c' : 1,
		'd' : 1,
		'e' : 10,
		'f' : 132,
		'g' : '攻击力上升50%',
		'h' : 50,
		'i' : 50,
		'j' : '很低（15-34）',
		'k' : 1,
		'l' : '成长：小',
		'm' : 1,
		'n' : '榎波克己',
		'o' : 890,
		'p' : 2490,
		'q' : 2300,
		'r' : 3490,
		's' : 11,
		't' : 3700,
		'u' : 4600,
		'v' : 40,
		'w' : 16,
		'x' : 50,
		'y' : 11000,
		'z' : '殴打剑＝圧杀铁块'
	},
	{
		'a' : 17,
		'b' : '第二型艾力克',
		'c' : 2,
		'd' : 1,
		'e' : 5,
		'f' : 206,
		'g' : 'HP在10%以下时&#10;回复卡牌HP的100%',
		'h' : 100,
		'i' : 100,
		'j' : '很高（75-89）',
		'k' : 2,
		'l' : '成长：小',
		'm' : 1,
		'n' : '大木凡太',
		'o' : 950,
		'p' : 730,
		'q' : 1100,
		'r' : 1990,
		's' : 19,
		't' : 3800,
		'u' : 4100,
		'v' : 50,
		'w' : 23,
		'x' : 60,
		'y' : 10800,
		'z' : '轻割剑＝起死回生'
	},
	{
		'a' : 18,
		'b' : '第二型玛洛斯',
		'c' : 1,
		'd' : 1,
		'e' : 5,
		'f' : 131,
		'g' : '攻击力上升20%',
		'h' : 20,
		'i' : 20,
		'j' : '很低（15-34）',
		'k' : 1,
		'l' : '成长：极小',
		'm' : 1,
		'n' : 'hakus',
		'o' : 860,
		'p' : 920,
		'q' : 1060,
		'r' : 1520,
		's' : 5,
		't' : 2600,
		'u' : 2700,
		'v' : 40,
		'w' : 9,
		'x' : 50,
		'y' : 10800,
		'z' : '巨断剑＝右腕粉碎'
	},
	{
		'a' : 19,
		'b' : '第二型达玛斯',
		'c' : 2,
		'd' : 1,
		'e' : 5,
		'f' : 201,
		'g' : '回复卡牌HP的100%',
		'h' : 100,
		'i' : 100,
		'j' : '很低（15-34）',
		'k' : 2,
		'l' : '成长：小',
		'm' : 2,
		'n' : '魔界之住民',
		'o' : 1210,
		'p' : 480,
		'q' : 1850,
		'r' : 960,
		's' : 14,
		't' : 4600,
		'u' : 3100,
		'v' : 50,
		'w' : 19,
		'x' : 60,
		'y' : 10900,
		'z' : '幽闭牢＝骑士召喚'
	},
	{
		'a' : 20,
		'b' : '特异型威廉',
		'c' : 4,
		'd' : 1,
		'e' : 16,
		'f' : 1000,
		'g' : '「剑术之城」越多&#10;攻击力提升(大)',
		'h' : 18,
		'i' : 150,
		'j' : '普通（45-59）',
		'k' : 1,
		'l' : '成长：中',
		'm' : 1,
		'n' : '35',
		'o' : 3740,
		'p' : 2980,
		'q' : 7180,
		'r' : 5420,
		's' : 30,
		't' : 11200,
		'u' : 8500,
		'v' : 70,
		'w' : 35,
		'x' : 80,
		'y' : 10900,
		'z' : '密弩弓＝一点狙击'
	},
	{
		'a' : 21,
		'b' : '特异型奥德修斯',
		'c' : 2,
		'd' : 1,
		'e' : 7,
		'f' : 112,
		'g' : '对手HP越高&#10;攻击力提升越大',
		'h' : 14,
		'i' : 90,
		'j' : '较高（60-74）',
		'k' : 1,
		'l' : '成长：小',
		'm' : 1,
		'n' : 'Tartan Check',
		'o' : 1800,
		'p' : 660,
		'q' : 2510,
		'r' : 1650,
		's' : 14,
		't' : 5200,
		'u' : 3700,
		'v' : 50,
		'w' : 18,
		'x' : 60,
		'y' : 10800,
		'z' : '过小剑＝敌阵乱入'
	},
	{
		'a' : 22,
		'b' : '特异型恺撒',
		'c' : 4,
		'd' : 1,
		'e' : 10,
		'f' : 142,
		'g' : '第一轮攻击时&#10;攻击力上升100%',
		'h' : 100,
		'i' : 100,
		'j' : '较高（60-74）',
		'k' : 1,
		'l' : '成长：中',
		'm' : 2,
		'n' : '逢倉千尋',
		'o' : 2360,
		'p' : 1500,
		'q' : 5620,
		'r' : 4340,
		's' : 36,
		't' : 10000,
		'u' : 7700,
		'v' : 70,
		'w' : 40,
		'x' : 80,
		'y' : 10800,
		'z' : '突击枪＝先手貫通'
	},
	{
		'a' : 23,
		'b' : '特异型希格露恩',
		'c' : 6,
		'd' : 1,
		'e' : 17,
		'f' : 1011,
		'g' : 'SUPER越多&#10;攻击力提升(大)',
		'h' : 6,
		'i' : 150,
		'j' : '较低（35-44）',
		'k' : 1,
		'l' : '成长：中',
		'm' : 2,
		'n' : '文倉十',
		'o' : 4950,
		'p' : 4590,
		'q' : 9240,
		'r' : 8510,
		's' : 45,
		't' : 24100,
		'u' : 20000,
		'v' : 100,
		'w' : 50,
		'x' : 110,
		'y' : 10900,
		'z' : '命运剑＝死者选别'
	},
	{
		'a' : 24,
		'b' : '特异型纳杰吉塔',
		'c' : 4,
		'd' : 1,
		'e' : 16,
		'f' : 153,
		'g' : '对手是希尔奇的时候&#10;攻击力上升100%',
		'h' : 100,
		'i' : 100,
		'j' : '较高（60-74）',
		'k' : 1,
		'l' : '成长：中',
		'm' : 2,
		'n' : '35',
		'o' : 3840,
		'p' : 3110,
		'q' : 7420,
		'r' : 5600,
		's' : 30,
		't' : 11400,
		'u' : 8700,
		'v' : 70,
		'w' : 34,
		'x' : 80,
		'y' : 10800,
		'z' : '骑兵枪＝恶路扫射'
	},
	{
		'a' : 25,
		'b' : '特异型汉尼拔',
		'c' : 4,
		'd' : 1,
		'e' : 13,
		'f' : 103,
		'g' : '攻击力上升100%',
		'h' : 100,
		'i' : 100,
		'j' : '很低（15-34）',
		'k' : 1,
		'l' : '成长：中',
		'm' : 1,
		'n' : '板鼻利幸',
		'o' : 3150,
		'p' : 3910,
		'q' : 4080,
		'r' : 7460,
		's' : 30,
		't' : 8300,
		'u' : 10700,
		'v' : 70,
		'w' : 34,
		'x' : 80,
		'y' : 10800,
		'z' : '削断剑＝外敌排除'
	},
	{
		'a' : 26,
		'b' : '特异型玛丽',
		'c' : 3,
		'd' : 1,
		'e' : 10,
		'f' : 108,
		'g' : '「技巧之场」越多&#10;攻击力提升越大',
		'h' : 19,
		'i' : 70,
		'j' : '很高（75-89）',
		'k' : 1,
		'l' : '成长：中',
		'm' : 2,
		'n' : 'Nardack',
		'o' : 2280,
		'p' : 1780,
		'q' : 4460,
		'r' : 3460,
		's' : 30,
		't' : 7900,
		'u' : 6100,
		'v' : 60,
		'w' : 34,
		'x' : 70,
		'y' : 10800,
		'z' : '海贼枪＝牽制乱射'
	},
	{
		'a' : 27,
		'b' : '特异型罗宾汉',
		'c' : 5,
		'd' : 1,
		'e' : 13,
		'f' : 108,
		'g' : '「技巧之场」越多&#10;攻击力提升越大',
		'h' : 19,
		'i' : 70,
		'j' : '很高（75-89）',
		'k' : 1,
		'l' : '成长：中',
		'm' : 2,
		'n' : '原田武人',
		'o' : 3130,
		'p' : 3970,
		'q' : 7330,
		'r' : 5650,
		's' : 35,
		't' : 17200,
		'u' : 13200,
		'v' : 90,
		'w' : 40,
		'x' : 100,
		'y' : 10900,
		'z' : '长大弓＝间隙命中'
	},
	{
		'a' : 28,
		'b' : '特异型阿倍晴明',
		'c' : 5,
		'd' : 1,
		'e' : 15,
		'f' : 1011,
		'g' : 'SUPER越多&#10;攻击力提升(大)',
		'h' : 6,
		'i' : 150,
		'j' : '较低（35-44）',
		'k' : 1,
		'l' : '成长：中',
		'm' : 1,
		'n' : '鈴木次郎',
		'o' : 3680,
		'p' : 4660,
		'q' : 7940,
		'r' : 9280,
		's' : 45,
		't' : 17300,
		'u' : 16500,
		'v' : 90,
		'w' : 50,
		'x' : 100,
		'y' : 10800,
		'z' : '术法符＝异形使役'
	},
	{
		'a' : 29,
		'b' : '复制型渔夫王',
		'c' : 4,
		'd' : 1,
		'e' : 16,
		'f' : 151,
		'g' : '对手是凯尔皮的时候&#10;攻击力上升200%',
		'h' : 200,
		'i' : 200,
		'j' : '较低（35-44）',
		'k' : 1,
		'l' : '成长：中',
		'm' : 1,
		'n' : '宮城',
		'o' : 3630,
		'p' : 3350,
		'q' : 7090,
		'r' : 6530,
		's' : 35,
		't' : 11200,
		'u' : 9700,
		'v' : 70,
		'w' : 41,
		'x' : 80,
		'y' : 11000,
		'z' : '神圣枪＝断裂突貫'
	},
	{
		'a' : 30,
		'b' : '试作型布兰迪哥利斯',
		'c' : 3,
		'd' : 1,
		'e' : 10,
		'f' : 112,
		'g' : '对手HP越高&#10;攻击力提升越大',
		'h' : 200,
		'i' : 200,
		'j' : '较高（60-74）',
		'k' : 1,
		'l' : '成长：中',
		'm' : 1,
		'n' : '藏中',
		'o' : 3270,
		'p' : 1540,
		'q' : 4030,
		'r' : 4420,
		's' : 25,
		't' : 7500,
		'u' : 7000,
		'v' : 60,
		'w' : 30,
		'x' : 70,
		'y' : 11000,
		'z' : '打击盾＝装甲粉碎'
	},
	{
		'a' : 31,
		'b' : '试作型利安斯',
		'c' : 3,
		'd' : 1,
